70,248,224,113,196,162,30,88,209,70,62,32,52,31,195,181,255,219,100,206
121,204,99,19,109,28,173,125,44,2,80,144,107,107,33,36,203,163,164,140
147,24,36,226,208,58,11,158,4,151,207,127,103,200,77,71,42,170,0,2
150,201,30,89,137,89,51,75,59,178,54,120,239,60,120,82,163,22,7,48
174,173,142,219,172,163,136,23,208,117,130,253,39,207,216,117,96,23,184,120
155,54,26,230,29,182,45,86,147,99,199,164,63,203,199,67,105,0,117,209
241,189,89,136,167,192,167,113,198,119,52,26,23,200,40,249,244,192,38,157
5,230,0,245,37,51,128,104,184,36,10,172,155,173,201,41,84,103,110,10
18,147,212,214,136,232,115,148,195,1,200,172,67,23,194,230,92,22,213,230
106,233,96,240,171,134,209,221,162,30,18,85,48,99,145,60,171,82,206,123
189,242,0,181,117,156,249,116,185,11,39,129,15,210,204,224,95,233,38,210
104,90,64,190,17,113,211,17,84,25,206,249,135,33,42,63,46,133,188,91
86,254,130,222,157,189,249,255,82,179,31,108,75,201,137,12,209,233,53,141
48,188,76,140,50,48,32,197,138,85,206,117,5,48,114,195,62,154,192,204
234,175,216,54,217,193,219,130,93,73,162,145,1,230,210,168,204,241,44,23
75,169,171,38,196,34,48,127,142,238,253,92,152,108,208,246,38,95,249,238
156,26,152,163,111,11,54,124,78,130,7,244,236,249,15,159,6,74,93,61
74,255,25,134,20,157,2,12,161,143,233,86,39,91,26,58,183,78,168,192
66,214,139,138,132,107,93,6,41,243,210,7,46,1,171,60,23,248,38,223
220,191,65,194,150,236,10,154,248,9,82,18,7,62,50,27,250,89,140,19
